keying,mode,family_semantics,severity,threshold_fraction,support_width,family_size,rows,low_count,medium_count,high_count,low_high_estimable,bin_signature
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.75,4,5,660,0,0,660,False,high:660
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.25,1,1,1581,931,650,0,False,low:931;medium:650
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.25,2,3,645,0,10,635,False,high:635;medium:10
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.25,3,4,714,0,445,269,False,high:269;medium:445
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.25,4,5,660,0,634,26,False,high:26;medium:634
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.5,1,1,1581,931,650,0,False,low:931;medium:650
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.5,2,3,645,0,9,636,False,high:636;medium:9
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.5,3,4,714,0,0,714,False,high:714
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.5,4,7,660,0,0,660,False,high:660
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.75,1,1,1581,931,650,0,False,low:931;medium:650
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.75,2,1,645,381,264,0,False,low:381;medium:264
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.75,3,1,714,429,285,0,False,low:429;medium:285
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.75,4,5,660,0,0,660,False,high:660
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.25,1,1,1581,927,654,0,False,low:927;medium:654
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.25,2,3,645,0,9,636,False,high:636;medium:9
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.25,3,4,714,0,437,277,False,high:277;medium:437
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.25,4,5,660,0,634,26,False,high:26;medium:634
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.5,1,1,1581,927,654,0,False,low:927;medium:654
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.5,2,3,645,0,6,639,False,high:639;medium:6
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.5,3,4,714,0,0,714,False,high:714
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.5,4,7,660,0,0,660,False,high:660
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.75,1,1,1581,927,654,0,False,low:927;medium:654
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.75,2,1,645,381,264,0,False,low:381;medium:264
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.75,3,1,714,426,288,0,False,low:426;medium:288
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.75,4,5,660,0,0,660,False,high:660
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.25,1,1,1581,933,648,0,False,low:933;medium:648
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.25,2,3,645,0,383,262,False,high:262;medium:383
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.25,3,7,714,0,287,427,False,high:427;medium:287
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.25,4,15,660,0,61,599,False,high:599;medium:61
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.5,1,1,1581,933,648,0,False,low:933;medium:648
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.5,2,3,645,0,388,257,False,high:257;medium:388
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.5,3,4,714,0,0,714,False,high:714
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.5,4,11,660,0,0,660,False,high:660
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.75,1,1,1581,933,648,0,False,low:933;medium:648
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.75,2,1,645,381,264,0,False,low:381;medium:264
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.75,3,1,714,429,285,0,False,low:429;medium:285
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.75,4,5,660,0,0,660,False,high:660
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.25,1,1,1581,931,650,0,False,low:931;medium:650
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.25,2,3,645,0,377,268,False,high:268;medium:377
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.25,3,7,714,0,293,421,False,high:421;medium:293
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.25,4,15,660,0,63,597,False,high:597;medium:63
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.5,1,1,1581,931,650,0,False,low:931;medium:650
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.5,2,3,645,0,373,272,False,high:272;medium:373
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.5,3,4,714,0,0,714,False,high:714
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.5,4,11,660,0,0,660,False,high:660
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.75,1,1,1581,931,650,0,False,low:931;medium:650
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.75,2,1,645,381,264,0,False,low:381;medium:264
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.75,3,1,714,429,285,0,False,low:429;medium:285
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.75,4,5,660,0,0,660,False,high:660
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.25,1,1,1581,927,654,0,False,low:927;medium:654
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.25,2,3,645,0,363,282,False,high:282;medium:363
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.25,3,7,714,0,279,435,False,high:435;medium:279
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.25,4,15,660,0,55,605,False,high:605;medium:55
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.5,1,1,1581,927,654,0,False,low:927;medium:654
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.5,2,3,645,0,372,273,False,high:273;medium:372
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.5,3,4,714,0,0,714,False,high:714
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.5,4,11,660,0,0,660,False,high:660
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.75,1,1,1581,927,654,0,False,low:927;medium:654
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.75,2,1,645,381,264,0,False,low:381;medium:264
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.75,3,1,714,426,288,0,False,low:426;medium:288
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.75,4,5,660,0,0,660,False,high:660
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.25,1,1,1581,933,648,0,False,low:933;medium:648
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.25,2,3,645,0,13,632,False,high:632;medium:13
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.25,3,4,714,0,454,260,False,high:260;medium:454
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.25,4,5,660,0,630,30,False,high:30;medium:630
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.5,1,1,1581,933,648,0,False,low:933;medium:648
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.5,2,3,645,0,10,635,False,high:635;medium:10
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.5,3,4,714,0,0,714,False,high:714
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.5,4,7,660,0,0,660,False,high:660
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.75,1,1,1581,933,648,0,False,low:933;medium:648
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.75,2,1,645,381,264,0,False,low:381;medium:264
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.75,3,1,714,429,285,0,False,low:429;medium:285
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.75,4,5,660,0,0,660,False,high:660
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.25,1,1,1581,931,650,0,False,low:931;medium:650
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.25,2,3,645,0,8,637,False,high:637;medium:8
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.25,3,4,714,0,451,263,False,high:263;medium:451
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.25,4,5,660,0,629,31,False,high:31;medium:629
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.5,1,1,1581,931,650,0,False,low:931;medium:650
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.5,2,3,645,0,14,631,False,high:631;medium:14
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.5,3,4,714,0,0,714,False,high:714
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.5,4,7,660,0,0,660,False,high:660
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.75,1,1,1581,931,650,0,False,low:931;medium:650
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.75,2,1,645,381,264,0,False,low:381;medium:264
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.75,3,1,714,429,285,0,False,low:429;medium:285
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.75,4,5,660,0,0,660,False,high:660
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.25,1,1,1581,927,654,0,False,low:927;medium:654
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.25,2,3,645,0,12,633,False,high:633;medium:12
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.25,3,4,714,0,435,279,False,high:279;medium:435
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.25,4,5,660,0,629,31,False,high:31;medium:629
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.5,1,1,1581,927,654,0,False,low:927;medium:654
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.5,2,3,645,0,9,636,False,high:636;medium:9
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.5,3,4,714,0,0,714,False,high:714
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.5,4,7,660,0,0,660,False,high:660
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.75,1,1,1581,927,654,0,False,low:927;medium:654
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.75,2,1,645,381,264,0,False,low:381;medium:264
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.75,3,1,714,426,288,0,False,low:426;medium:288
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.75,4,5,660,0,0,660,False,high:660
edge_direction_only,ledger_failure,at_least_k,0.25,0.25,1,1,1581,933,648,0,False,low:933;medium:648
edge_direction_only,ledger_failure,at_least_k,0.25,0.25,2,3,645,0,267,378,False,high:378;medium:267
edge_direction_only,ledger_failure,at_least_k,0.25,0.25,3,7,714,0,282,432,False,high:432;medium:282
edge_direction_only,ledger_failure,at_least_k,0.25,0.25,4,15,660,0,282,378,False,high:378;medium:282
edge_direction_only,ledger_failure,at_least_k,0.25,0.5,1,1,1581,933,648,0,False,low:933;medium:648
edge_direction_only,ledger_failure,at_least_k,0.25,0.5,2,3,645,0,267,378,False,high:378;medium:267
edge_direction_only,ledger_failure,at_least_k,0.25,0.5,3,4,714,0,0,714,False,high:714
edge_direction_only,ledger_failure,at_least_k,0.25,0.5,4,11,660,0,0,660,False,high:660
edge_direction_only,ledger_failure,at_least_k,0.25,0.75,1,1,1581,933,648,0,False,low:933;medium:648
edge_direction_only,ledger_failure,at_least_k,0.25,0.75,2,1,645,381,264,0,False,low:381;medium:264
edge_direction_only,ledger_failure,at_least_k,0.25,0.75,3,1,714,429,285,0,False,low:429;medium:285
edge_direction_only,ledger_failure,at_least_k,0.25,0.75,4,5,660,0,0,660,False,high:660
edge_direction_only,ledger_failure,at_least_k,0.5,0.25,1,1,1581,931,650,0,False,low:931;medium:650
edge_direction_only,ledger_failure,at_least_k,0.5,0.25,2,3,645,0,267,378,False,high:378;medium:267
edge_direction_only,ledger_failure,at_least_k,0.5,0.25,3,7,714,0,282,432,False,high:432;medium:282
edge_direction_only,ledger_failure,at_least_k,0.5,0.25,4,15,660,0,282,378,False,high:378;medium:282
edge_direction_only,ledger_failure,at_least_k,0.5,0.5,1,1,1581,931,650,0,False,low:931;medium:650
edge_direction_only,ledger_failure,at_least_k,0.5,0.5,2,3,645,0,267,378,False,high:378;medium:267
edge_direction_only,ledger_failure,at_least_k,0.5,0.5,3,4,714,0,0,714,False,high:714
edge_direction_only,ledger_failure,at_least_k,0.5,0.5,4,11,660,0,0,660,False,high:660
edge_direction_only,ledger_failure,at_least_k,0.5,0.75,1,1,1581,931,650,0,False,low:931;medium:650
