seed,run_seed,step_idx,v,N1,N2,N3,N4,V4,S,parent_size,mu_depth,mu_v4,mu_mle
chain2,11,3,5,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,11,4,6,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,11,5,7,4,0,0,1,5,5,4,2.0000000000,1.8312368960,1.6627514257
chain2,11,6,8,1,4,0,0,5,36,4,1.7500000000,1.8312368960,1.7456210551
chain2,11,7,9,1,4,0,0,5,36,3,1.7500000000,1.8312368960,1.7456210551
chain2,11,8,10,1,4,0,0,5,36,4,1.7500000000,1.8312368960,1.7456210551
chain2,11,9,11,2,0,1,4,7,15,3,1.8000000000,2.1488813703,2.4167185680
chain2,11,10,12,1,4,0,0,5,36,2,1.7500000000,1.8312368960,1.7456210551
chain2,11,11,13,2,0,1,4,7,15,4,1.8000000000,2.1488813703,2.4167185680
chain2,11,12,14,2,0,1,4,7,15,3,1.8000000000,2.1488813703,2.4167185680
chain2,11,13,15,1,2,0,1,4,26,4,1.6666666667,1.6354633478,1.7456210551
chain2,11,14,16,3,2,1,1,7,8,4,2.0000000000,2.1488813703,2.0785553499
chain2,11,15,17,2,0,1,4,7,15,4,1.8000000000,2.1488813703,2.4167185680
chain2,11,16,18,2,2,0,0,4,17,4,1.8333333333,1.6354633478,1.4702785181
chain2,11,17,19,2,2,1,1,6,9,4,1.8571428571,2.0000000000,2.0202072359
chain2,11,18,20,3,2,1,1,7,8,4,2.0000000000,2.1488813703,2.0785553499
chain2,11,19,21,1,2,0,1,4,26,4,1.6666666667,1.6354633478,1.7456210551
chain2,11,20,22,2,3,1,1,7,18,4,2.0000000000,2.1488813703,2.1338144785
chain2,11,21,23,2,2,0,0,4,17,4,1.8333333333,1.6354633478,1.4702785181
chain2,11,22,24,3,2,1,1,7,8,4,2.0000000000,2.1488813703,2.0785553499
chain2,11,23,25,2,3,2,1,8,2,4,2.0000000000,2.2824720047,2.2842970862
chain2,11,24,26,2,2,1,0,5,1,4,2.0000000000,1.8312368960,1.7456210551
chain2,11,25,27,1,3,2,1,7,3,3,1.8750000000,2.1488813703,2.2364152990
chain2,12,1,3,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,12,2,4,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,12,3,5,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,12,4,6,2,1,0,0,3,8,3,1.5000000000,1.4006773518,1.2220970831
chain2,12,5,7,1,2,1,0,4,2,4,1.3333333333,1.6354633478,1.6627514257
chain2,12,6,8,1,2,1,0,4,2,3,1.3333333333,1.6354633478,1.6627514257
chain2,12,7,9,3,1,0,1,5,15,3,2.0000000000,1.8312368960,1.7456210551
chain2,12,8,10,2,2,1,1,6,9,4,2.0000000000,2.0000000000,2.0202072359
chain2,12,9,11,2,2,1,1,6,9,4,2.0000000000,2.0000000000,2.0202072359
chain2,12,10,12,1,3,1,0,5,11,4,1.7500000000,1.8312368960,1.8218071621
chain2,12,11,13,2,2,1,1,6,9,3,2.0000000000,2.0000000000,2.0202072359
chain2,12,12,14,3,2,0,1,6,24,3,2.4000000000,2.0000000000,1.8924299483
chain2,12,13,15,1,3,1,0,5,11,3,1.7500000000,1.8312368960,1.8218071621
chain2,12,14,16,2,1,1,2,6,8,4,2.0000000000,2.0000000000,2.1338144785
chain2,12,15,17,2,1,1,2,6,8,4,2.0000000000,2.0000000000,2.1338144785
