seed,run_seed,step_idx,n_vertices,total_parent_subsets,admitted_parent_subsets,unique_closures,admitted_unique_closures,unique_profiles,admitted_unique_profiles,mean_closure_multiplicity,max_closure_multiplicity,mean_adm_closure_multiplicity,max_adm_closure_multiplicity
asym_branch,4,9,12,794,480,42,18,29,13,18.9047619048,130,26.6666666667,130
asym_branch,4,10,13,1093,480,46,18,31,13,23.7608695652,176,26.6666666667,130
asym_branch,4,11,14,1471,480,54,18,33,13,27.2407407407,176,26.6666666667,130
asym_branch,4,12,15,1941,651,62,24,38,16,31.3064516129,232,27.1250000000,130
asym_branch,4,13,16,2517,770,84,34,41,19,29.9642857143,232,22.6470588235,130
asym_branch,4,14,17,3214,1296,114,46,49,21,28.1929824561,232,28.1739130435,130
asym_branch,4,15,18,4048,1687,157,75,64,31,25.7834394904,232,22.4933333333,130
asym_branch,4,16,19,5036,2336,227,98,69,31,22.1850220264,232,23.8367346939,130
asym_branch,4,17,20,6196,2750,328,149,70,31,18.8902439024,232,18.4563758389,130
asym_branch,4,18,21,7547,3120,374,164,82,35,20.1791443850,299,19.0243902439,130
asym_branch,4,19,22,9109,4166,443,224,95,46,20.5620767494,378,18.5982142857,137
asym_branch,4,20,23,10903,5121,496,253,109,52,21.9818548387,576,20.2411067194,154
asym_branch,4,21,24,12951,5375,508,257,116,55,25.4940944882,1160,20.9143968872,211
asym_branch,4,22,25,15276,6458,656,347,136,67,23.2865853659,1160,18.6109510086,211
asym_branch,4,23,26,17902,7418,750,406,150,74,23.8693333333,1160,18.2709359606,211
asym_branch,4,24,27,20854,9271,848,455,175,89,24.5919811321,1160,20.3758241758,697
asym_branch,4,25,28,24158,9716,923,488,201,100,26.1733477790,1160,19.9098360656,697
asym_branch,5,1,4,16,13,7,4,6,4,2.2857142857,8,3.2500000000,8
asym_branch,5,2,5,31,21,9,5,7,4,3.4444444444,8,4.2000000000,8
asym_branch,5,3,6,57,32,11,6,9,5,5.1818181818,15,5.3333333333,11
asym_branch,5,4,7,99,74,12,7,9,5,8.2500000000,42,10.5714285714,42
asym_branch,5,5,8,163,116,14,8,9,5,11.6428571429,42,14.5000000000,42
asym_branch,5,6,9,256,145,16,9,9,5,16.0000000000,64,16.1111111111,42
asym_branch,5,7,10,386,174,20,10,11,5,19.3000000000,64,17.4000000000,42
asym_branch,5,8,11,562,212,28,13,13,7,20.0714285714,64,16.3076923077,42
asym_branch,5,9,12,794,444,32,17,15,9,24.8125000000,130,26.1176470588,130
asym_branch,5,10,13,1093,444,34,17,17,9,32.1470588235,232,26.1176470588,130
asym_branch,5,11,14,1471,664,49,24,25,13,30.0204081633,232,27.6666666667,130
asym_branch,5,12,15,1941,947,56,29,29,16,34.6607142857,232,32.6551724138,130
asym_branch,5,13,16,2517,1188,71,35,36,21,35.4507042254,232,33.9428571429,130
asym_branch,5,14,17,3214,1779,80,42,39,22,40.1750000000,299,42.3571428571,299
asym_branch,5,15,18,4048,1916,89,45,44,24,45.4831460674,378,42.5777777778,299
asym_branch,5,16,19,5036,2053,93,46,48,25,54.1505376344,576,44.6304347826,299
asym_branch,5,17,20,6196,2053,95,46,50,25,65.2210526316,988,44.6304347826,299
asym_branch,5,18,21,7547,2494,147,71,70,35,51.3401360544,988,35.1267605634,299
asym_branch,5,19,22,9109,3691,189,105,78,39,48.1957671958,988,35.1523809524,299
asym_branch,5,20,23,10903,4037,229,118,97,44,47.6113537118,988,34.2118644068,299
asym_branch,5,21,24,12951,4310,257,128,118,53,50.3929961089,988,33.6718750000,299
asym_branch,5,22,25,15276,5531,334,160,140,61,45.7365269461,988,34.5687500000,299
asym_branch,5,23,26,17902,8090,353,173,140,61,50.7138810198,1351,46.7630057803,1351
asym_branch,5,24,27,20854,9358,399,207,162,78,52.2656641604,1351,45.2077294686,1351
asym_branch,5,25,28,24158,9684,405,209,163,79,59.6493827160,2325,46.3349282297,1351
asym_branch,6,1,4,16,13,7,4,6,4,2.2857142857,8,3.2500000000,8
asym_branch,6,2,5,31,13,8,4,7,4,3.8750000000,15,3.2500000000,8
