seed,profile,candidate_count,admitted_candidate_count,unique_closure_count,admitted_unique_closure_count
asym_branch,4|3|1|4,1,1,1,1
asym_branch,4|3|2|0,555,0,555,0
asym_branch,4|3|2|1,651,0,651,0
asym_branch,4|3|2|2,150,150,150,150
asym_branch,4|3|2|3,12,12,12,12
asym_branch,4|3|3|0,142,0,142,0
asym_branch,4|3|3|1,163,0,163,0
asym_branch,4|3|3|2,24,0,24,0
asym_branch,4|3|3|3,4,0,4,0
asym_branch,4|3|4|0,36,0,36,0
asym_branch,4|3|4|1,14,0,14,0
asym_branch,4|3|4|2,2,0,2,0
asym_branch,4|3|5|1,1,0,1,0
asym_branch,4|4|0|0,92,92,92,92
asym_branch,4|4|0|1,223,223,223,223
asym_branch,4|4|0|2,90,90,90,90
asym_branch,4|4|0|3,14,14,14,14
asym_branch,4|4|1|0,194,194,194,194
asym_branch,4|4|1|1,201,201,201,201
asym_branch,4|4|1|2,86,86,86,86
asym_branch,4|4|1|3,10,10,10,10
asym_branch,4|4|2|0,117,117,117,117
asym_branch,4|4|2|1,97,97,97,97
asym_branch,4|4|2|2,22,22,22,22
asym_branch,4|4|2|3,1,1,1,1
asym_branch,4|4|3|0,28,0,28,0
asym_branch,4|4|3|1,8,0,8,0
asym_branch,4|4|4|0,4,0,4,0
asym_branch,4|4|5|0,2,0,2,0
asym_branch,4|5|0|0,45,45,45,45
asym_branch,4|5|0|1,28,28,28,28
asym_branch,4|5|0|2,3,3,3,3
asym_branch,4|5|0|3,3,3,3,3
asym_branch,4|5|1|0,62,62,62,62
asym_branch,4|5|1|1,10,10,10,10
asym_branch,4|5|1|2,5,5,5,5
asym_branch,4|5|1|3,1,1,1,1
asym_branch,4|5|2|0,10,10,10,10
asym_branch,4|5|2|1,4,4,4,4
asym_branch,4|5|2|2,3,3,3,3
asym_branch,4|5|3|0,4,0,4,0
asym_branch,4|5|3|1,1,1,1,1
asym_branch,4|6|0|0,3,3,3,3
asym_branch,4|6|0|1,10,10,10,10
asym_branch,4|6|1|0,2,2,2,2
asym_branch,4|6|1|2,3,3,3,3
asym_branch,4|6|1|3,1,1,1,1
asym_branch,4|7|0|1,2,2,2,2
chain2,0|0|0|0,500,500,500,500
chain2,1|0|0|0,1102,0,1102,0
chain2,1|1|0|0,1000,1000,500,500
chain2,1|1|1|0,3520,0,880,0
chain2,1|1|2|0,22848,0,99,0
chain2,1|1|2|1,53482,0,623,0
chain2,1|1|2|2,10112,0,15,0
chain2,1|1|3|0,9823,0,183,0
chain2,1|1|3|1,22517,0,350,0
chain2,1|1|3|2,25037,0,142,0
chain2,1|1|4|0,4416,0,69,0
chain2,1|1|4|1,1890,0,5,0
chain2,1|2|0|1,33586,33586,216,216
chain2,1|2|1|0,15498,15498,521,521
chain2,1|2|1|1,72840,72840,292,292
chain2,1|2|2|0,55608,0,248,0
chain2,1|2|2|1,144677,0,643,0
chain2,1|2|2|2,19671,19671,34,34
chain2,1|2|3|0,16696,0,133,0
chain2,1|2|3|1,41503,0,146,0
chain2,1|2|3|2,11305,0,17,0
chain2,1|2|4|0,9612,0,24,0
chain2,1|2|4|1,11223,0,24,0
chain2,1|2|4|2,5670,0,15,0
chain2,1|3|0|0,5925,5925,155,155
chain2,1|3|1|0,11812,11812,266,266
chain2,1|3|1|1,4545,4545,17,17
chain2,1|3|2|0,16251,0,73,0
chain2,1|3|2|1,23120,23120,99,99
chain2,1|3|3|0,18833,0,36,0
chain2,1|3|3|1,12178,0,16,0
chain2,1|3|3|2,5800,0,5,0
chain2,1|3|4|1,1794,0,6,0
chain2,1|3|4|2,834,0,1,0
chain2,1|4|0|0,840,840,20,20
chain2,1|4|1|0,2288,2288,25,25
chain2,2|0|0|0,871,0,871,0
chain2,2|0|1|1,2712,0,678,0
chain2,2|0|1|2,8232,0,398,0
chain2,2|0|1|3,18455,18455,565,565
chain2,2|0|1|4,2813,2813,97,97
chain2,2|0|2|0,2094,0,41,0
chain2,2|0|2|1,5084,0,195,0
chain2,2|0|2|2,13113,0,214,0
chain2,2|0|2|3,2800,0,57,0
chain2,2|0|3|0,739,0,34,0
chain2,2|0|3|1,593,0,31,0
chain2,2|1|0|0,1204,1204,602,602
chain2,2|1|0|2,10017,10017,366,366
chain2,2|1|0|3,3219,3219,117,117
chain2,2|1|1|0,3440,0,860,0
chain2,2|1|1|1,12611,0,1393,0
chain2,2|1|1|2,35463,35463,701,701
chain2,2|1|1|3,9775,9775,246,246
chain2,2|1|1|4,1016,1016,14,14
chain2,2|1|2|0,27845,0,394,0
chain2,2|1|2|1,47924,0,883,0
chain2,2|1|2|2,18343,0,256,0
chain2,2|1|2|3,1604,0,12,0
chain2,2|1|3|0,10255,0,319,0
chain2,2|1|3|1,14463,0,293,0
chain2,2|1|3|2,4709,0,54,0
chain2,2|1|3|3,822,0,6,0
chain2,2|1|4|0,268,0,4,0
chain2,2|1|4|1,2556,0,36,0
chain2,2|2|0|0,20434,20434,453,453
chain2,2|2|0|1,28075,28075,513,513
chain2,2|2|0|2,21716,21716,344,344
chain2,2|2|0|3,4380,4380,86,86
chain2,2|2|1|0,48130,48130,976,976
chain2,2|2|1|1,76035,76035,1384,1384
chain2,2|2|1|2,31384,31384,460,460
chain2,2|2|1|3,3782,3782,48,48
chain2,2|2|2|0,50927,0,760,0
chain2,2|2|2|1,67206,0,909,0
chain2,2|2|2|2,27916,27916,272,272
chain2,2|2|2|3,4215,4215,37,37
chain2,2|2|2|4,1288,1288,14,14
chain2,2|2|3|0,13809,0,203,0
chain2,2|2|3|1,34233,0,357,0
chain2,2|2|3|2,4315,0,34,0
chain2,2|2|3|3,462,0,3,0
chain2,2|2|4|0,3823,0,24,0
chain2,2|2|4|1,4349,0,41,0
chain2,2|2|4|2,4593,0,45,0
chain2,2|2|5|0,172,0,1,0
chain2,2|2|5|1,605,0,5,0
chain2,2|3|0|0,15545,15545,340,340
chain2,2|3|0|1,11588,11588,242,242
chain2,2|3|0|2,1849,1849,20,20
chain2,2|3|0|3,728,728,13,13
chain2,2|3|1|0,12843,12843,300,300
chain2,2|3|1|1,35355,35355,453,453
chain2,2|3|1|2,17446,17446,155,155
chain2,2|3|1|3,4118,4118,44,44
chain2,2|3|1|4,363,363,3,3
chain2,2|3|2|0,28352,0,288,0
chain2,2|3|2|1,24549,24549,251,251
chain2,2|3|2|2,7159,7159,59,59
chain2,2|3|2|3,1801,1801,11,11
chain2,2|3|3|0,15810,0,161,0
chain2,2|3|3|1,10551,0,67,0
chain2,2|3|3|2,4318,0,35,0
chain2,2|3|3|3,462,462,3,3
chain2,2|3|4|0,1606,0,20,0
chain2,2|3|4|1,616,0,6,0
chain2,2|4|0|0,7566,7566,116,116
chain2,2|4|0|1,6051,6051,72,72
chain2,2|4|0|2,516,516,3,3
chain2,2|4|1|0,11953,11953,156,156
chain2,2|4|1|1,7308,7308,83,83
chain2,2|4|1|2,1667,1667,21,21
chain2,2|4|2|0,8491,8491,86,86
chain2,2|4|2|1,6018,6018,52,52
chain2,2|4|2|2,2527,2527,23,23
chain2,2|4|3|0,3200,0,28,0
chain2,2|4|3|1,1338,0,9,0
chain2,2|4|3|2,254,254,1,1
chain2,2|5|0|0,605,605,5,5
chain2,2|5|0|1,92,92,1,1
chain2,2|5|1|0,1648,1648,14,14
chain2,2|5|1|1,764,764,4,4
chain2,2|5|2|0,1649,1649,13,13
chain2,2|5|2|1,316,316,4,4
chain2,3|0|0|0,329,0,329,0
chain2,3|0|0|1,4117,4117,737,737
chain2,3|0|0|2,534,534,53,53
chain2,3|0|1|0,1518,0,259,0
chain2,3|0|1|1,7631,0,1389,0
chain2,3|0|1|2,4387,0,433,0
chain2,3|0|1|3,3500,3500,407,407
chain2,3|0|1|4,110,110,10,10
chain2,3|0|2|0,2793,0,268,0
chain2,3|0|2|1,2813,0,267,0
chain2,3|0|2|2,2707,0,229,0
chain2,3|0|2|3,312,0,27,0
chain2,3|0|3|0,472,0,63,0
chain2,3|0|3|1,837,0,89,0
chain2,3|0|3|2,16,0,1,0
chain2,3|0|3|3,85,0,5,0
chain2,3|0|4|1,100,0,10,0
chain2,3|0|4|2,88,0,8,0
chain2,3|1|0|0,892,892,316,316
chain2,3|1|0|1,7235,7235,1146,1146
chain2,3|1|0|2,2621,2621,220,220
chain2,3|1|0|3,1991,1991,222,222
chain2,3|1|1|0,6089,0,1021,0
chain2,3|1|1|1,11198,0,1329,0
chain2,3|1|1|2,9183,9183,826,826
chain2,3|1|1|3,2324,2324,214,214
chain2,3|1|1|4,160,160,13,13
chain2,3|1|2|0,10755,0,953,0
chain2,3|1|2|1,10986,0,893,0
chain2,3|1|2|2,4851,0,357,0
chain2,3|1|2|3,1383,0,85,0
chain2,3|1|3|0,3514,0,324,0
chain2,3|1|3|1,2099,0,163,0
chain2,3|1|3|2,1490,0,103,0
chain2,3|1|3|3,336,0,21,0
chain2,3|1|3|4,80,0,5,0
chain2,3|1|4|0,285,0,19,0
chain2,3|1|4|1,401,0,32,0
chain2,3|1|4|2,106,0,7,0
chain2,3|1|4|3,236,0,15,0
chain2,3|1|5|0,15,0,1,0
chain2,3|2|0|0,7512,7512,787,787
chain2,3|2|0|1,10011,10011,995,995
chain2,3|2|0|2,6211,6211,529,529
chain2,3|2|0|3,1805,1805,145,145
chain2,3|2|0|4,242,242,17,17
chain2,3|2|1|0,15059,0,1382,0
chain2,3|2|1|1,19453,19453,1669,1669
chain2,3|2|1|2,12251,12251,897,897
chain2,3|2|1|3,1980,1980,140,140
chain2,3|2|1|4,426,426,32,32
chain2,3|2|2|0,12824,0,1016,0
chain2,3|2|2|1,15591,0,1122,0
chain2,3|2|2|2,8901,0,632,0
chain2,3|2|2|3,1073,1073,67,67
chain2,3|2|2|4,574,574,40,40
chain2,3|2|3|0,6630,0,493,0
chain2,3|2|3|1,5243,0,354,0
chain2,3|2|3|2,984,0,66,0
chain2,3|2|3|3,232,0,15,0
chain2,3|2|4|0,1580,0,116,0
chain2,3|2|4|1,945,0,65,0
chain2,3|2|4|2,362,0,25,0
chain2,3|2|5|0,168,0,12,0
chain2,3|3|0|0,6139,6139,546,546
chain2,3|3|0|1,6586,6586,554,554
chain2,3|3|0|2,2474,2474,180,180
chain2,3|3|0|3,1229,1229,84,84
chain2,3|3|1|0,7698,7698,614,614
chain2,3|3|1|1,10236,10236,728,728
chain2,3|3|1|2,6244,6244,423,423
chain2,3|3|1|3,1219,1219,81,81
chain2,3|3|2|0,7190,0,496,0
chain2,3|3|2|1,7492,7492,507,507
chain2,3|3|2|2,3551,3551,226,226
chain2,3|3|2|3,483,483,30,30
chain2,3|3|2|4,36,36,2,2
chain2,3|3|3|0,3340,0,220,0
chain2,3|3|3|1,3318,0,217,0
chain2,3|3|3|2,201,0,11,0
chain2,3|3|4|0,152,0,9,0
chain2,3|3|4|1,34,0,2,0
chain2,3|3|5|0,20,0,1,0
chain2,3|4|0|0,3021,3021,236,236
chain2,3|4|0|1,3031,3031,210,210
chain2,3|4|0|2,956,956,69,69
chain2,3|4|0|3,153,153,8,8
chain2,3|4|1|0,2764,2764,205,205
chain2,3|4|1|1,3335,3335,208,208
chain2,3|4|1|2,1108,1108,73,73
chain2,3|4|1|3,83,83,5,5
chain2,3|4|2|0,3078,3078,225,225
chain2,3|4|2|1,2504,2504,157,157
chain2,3|4|2|2,472,472,28,28
chain2,3|4|2|3,21,21,1,1
chain2,3|4|3|0,580,0,35,0
chain2,3|4|3|1,340,0,18,0
chain2,3|4|3|2,23,23,1,1
chain2,3|5|0|0,960,960,67,67
chain2,3|5|0|1,335,335,25,25
chain2,3|5|0|2,251,251,20,20
chain2,3|5|1|0,482,482,32,32
chain2,3|5|1|1,436,436,29,29
chain2,3|5|1|2,194,194,10,10
chain2,3|5|2|0,329,329,18,18
chain2,3|5|2|1,256,256,14,14
chain2,3|6|1|0,54,54,3,3
chain2,3|6|1|1,54,54,3,3
chain2,3|6|2|0,17,17,1,1
chain2,4|0|0|0,213,0,213,0
chain2,4|0|0|1,653,653,653,653
chain2,4|0|0|2,97,97,97,97
chain2,4|0|1|0,598,0,598,0
chain2,4|0|1|1,747,0,747,0
chain2,4|0|1|2,349,0,349,0
chain2,4|0|1|3,180,180,180,180
chain2,4|0|1|4,10,10,10,10
chain2,4|0|2|0,394,0,394,0
chain2,4|0|2|1,269,0,269,0
chain2,4|0|2|2,152,0,152,0
chain2,4|0|2|3,16,0,16,0
chain2,4|0|2|4,4,0,4,0
