mode,family_semantics,severity,threshold_fraction,support_width,samples,mean_weighted_native_overlap,mean_induced_certificate_correlation,certification_rescue_rate,primary_signal_semantics,guardrail_semantics,anchoring_status,support_overlap,frontier_overlap,orientation_overlap,ledger_overlap,causal_past_overlap,bdg_kernel_overlap,firewall_overlap,concrete_support_overlap_v1_5,concrete_frontier_overlap_v1_5,concrete_orientation_link_overlap_v1_5,concrete_ledger_overlap_v1_5,concrete_causal_past_overlap_v1_5,concrete_bdg_kernel_overlap_v1_5,concrete_firewall_overlap_v1_5,graphs_sampled
ledger_failure,at_least_k,0.5,0.75,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5851851851851851,0.16296296296296295,0.13907407407407407,0.6881746031746031,0.5851851851851851,0.7573015873015873,0.16777777777777775,5
ledger_failure,at_least_k,0.5,0.75,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5425925925925925,0.0,0.11805996472663138,0.6293121693121693,0.5425925925925925,0.6731746031746032,0.18333333333333332,5
ledger_failure,at_least_k,0.5,0.75,3,476,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7388888888888889,0.1222222222222222,0.19874298540965207,0.8730158730158729,0.7388888888888889,0.8314991181657849,0.3066666666666667,5
ledger_failure,at_least_k,0.5,0.75,4,440,0.649869,0.649869,0.172727,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.6,0.6,0.6,0.775978,0.678955,0.663139,0.63005,0.725925925925926,0.16666666666666666,0.17429854096520764,0.8694179894179894,0.725925925925926,0.8397530864197531,0.4296296296296297,5
ledger_failure,at_least_k,0.5,1.0,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7930158730158731,0.15555555555555556,0.22391275391275395,0.9247619047619047,0.7930158730158731,0.8971489621489621,0.3011111111111111,5
ledger_failure,at_least_k,0.5,1.0,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6959259259259258,0.1074074074074074,0.18192480359147029,0.8104761904761905,0.6959259259259258,0.8159259259259259,0.2011111111111111,5
ledger_failure,at_least_k,0.5,1.0,3,476,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6962962962962964,0.16666666666666666,0.1778018278018278,0.8172663139329807,0.6962962962962964,0.8380979514312846,0.3493650793650794,5
ledger_failure,at_least_k,0.5,1.0,4,440,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.747089947089947,0.3688888888888889,0.19633313188868745,0.8521693121693122,0.747089947089947,0.8481118881118881,0.3735449735449735,5
ledger_failure,at_least_k,0.75,0.25,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6274074074074074,0.0,0.16352413019079687,0.7054320987654321,0.6274074074074074,0.7444973544973544,0.16666666666666666,5
ledger_failure,at_least_k,0.75,0.25,2,430,0.435563,0.435563,0.162791,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658,0.8004232804232805,0.16296296296296295,0.24253669170335837,0.8724867724867724,0.8004232804232805,0.9450657367324033,0.25920634920634916,5
ledger_failure,at_least_k,0.75,0.25,3,476,0.423733,0.423733,0.384454,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.619029,0.461096,0.450049,0.48298,0.7822222222222223,0.07777777777777777,0.2342793009459676,0.8635185185185185,0.7822222222222223,0.8918871252204585,0.19777777777777777,5
ledger_failure,at_least_k,0.75,0.25,4,440,0.420024,0.420024,0.438636,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.614318,0.457361,0.44056,0.464683,0.674074074074074,0.11111111111111112,0.17055315055315054,0.8218783068783069,0.674074074074074,0.7990828924162258,0.2644444444444445,5
ledger_failure,at_least_k,0.75,0.5,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6777777777777777,0.2111111111111111,0.17261904761904762,0.818941798941799,0.6777777777777777,0.7701695835029169,0.25555555555555554,5
ledger_failure,at_least_k,0.75,0.5,2,430,0.435563,0.435563,0.162791,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658,0.7855555555555556,0.274074074074074,0.2117889561164415,0.8815255731922399,0.7855555555555556,0.8656489498156164,0.3712698412698413,5
ledger_failure,at_least_k,0.75,0.5,3,476,0.565849,0.565849,0.180672,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.5,0.5,0.5,0.716662,0.598398,0.5822,0.585274,0.5,0.0,0.10666666666666666,0.58,0.5,0.6922222222222223,0.13148148148148148,5
ledger_failure,at_least_k,0.75,0.5,4,440,0.508639,0.508639,0.397727,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.436364,0.436364,0.436364,0.678448,0.543352,0.524495,0.524466,0.7783068783068783,0.35740740740740734,0.21891133557800221,0.8409876543209875,0.7783068783068783,0.9010337810337811,0.38042328042328044,5
ledger_failure,at_least_k,0.75,0.75,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.09703703703703703,0.58,0.5,0.6566666666666666,0.16666666666666666,5
ledger_failure,at_least_k,0.75,0.75,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7674603174603175,0.17777777777777776,0.2204623771290438,0.9105820105820106,0.7674603174603175,0.9282627865961199,0.2588888888888889,5
ledger_failure,at_least_k,0.75,0.75,3,476,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6570370370370371,0.14444444444444443,0.16037037037037036,0.780952380952381,0.6570370370370371,0.8036596119929452,0.29222222222222227,5
ledger_failure,at_least_k,0.75,0.75,4,440,0.649869,0.649869,0.15,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.6,0.6,0.6,0.775978,0.678955,0.663139,0.63005,0.7685185185185185,0.14444444444444443,0.21963283629950298,0.8848589065255732,0.7685185185185185,0.8857495590828923,0.29222222222222227,5
ledger_failure,at_least_k,0.75,1.0,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7439153439153439,0.3222222222222222,0.22019640852974182,0.8451851851851853,0.7439153439153439,0.8658608058608058,0.2568783068783069,5
ledger_failure,at_least_k,0.75,1.0,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7792592592592593,0.34074074074074073,0.20874068497256903,0.9132275132275133,0.7792592592592593,0.8478749320854584,0.3716931216931217,5
ledger_failure,at_least_k,0.75,1.0,3,476,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7722222222222224,0.13333333333333333,0.21540003206669875,0.8835361552028219,0.7722222222222224,0.8724894858228192,0.3326984126984127,5
ledger_failure,at_least_k,0.75,1.0,4,440,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6792592592592592,0.05555555555555556,0.18803591470258135,0.7956613756613756,0.6792592592592592,0.7959259259259259,0.24296296296296296,5
ledger_failure,at_least_k,1.0,0.25,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7296296296296296,0.1,0.21396825396825397,0.8495149911816577,0.7296296296296296,0.8609523809523809,0.18333333333333332,5
