environment,m_kg,T_s,gamma_decoh_per_s,unitary_peak_C,realistic_peak_C,discriminating
bose_ideal_um,1.000e-12,0.1,1.979e+01,9.9818e-01,4.4924e-01,1
bose_ideal_um,1.000e-12,1,1.979e+01,9.7854e-01,0.0000e+00,0
bose_ideal_um,1.000e-12,10,1.979e+01,9.5034e-01,0.0000e+00,0
bose_ideal_um,1.000e-12,100,1.979e+01,9.5730e-01,0.0000e+00,0
bose_ideal_um,1.000e-12,1e+03,1.979e+01,2.2996e-01,0.0000e+00,0
frozen_lab_nm,1.000e-22,0.1,6.257e-06,1.3801e-11,0.0000e+00,0
frozen_lab_nm,1.000e-22,1,6.257e-06,7.7804e-11,0.0000e+00,0
frozen_lab_nm,1.000e-22,10,6.257e-06,4.3763e-10,0.0000e+00,0
frozen_lab_nm,1.000e-22,100,6.257e-06,2.4610e-09,0.0000e+00,0
frozen_lab_nm,1.000e-22,1e+03,6.257e-06,1.3839e-08,0.0000e+00,0
frozen_lab_nm,3.162e-22,0.1,6.257e-06,7.7804e-11,0.0000e+00,0
frozen_lab_nm,3.162e-22,1,6.257e-06,4.3763e-10,0.0000e+00,0
frozen_lab_nm,3.162e-22,10,6.257e-06,2.4610e-09,0.0000e+00,0
frozen_lab_nm,3.162e-22,100,6.257e-06,1.3839e-08,0.0000e+00,0
frozen_lab_nm,3.162e-22,1e+03,6.257e-06,7.7820e-08,0.0000e+00,0
frozen_lab_nm,1.000e-21,0.1,6.257e-06,4.3769e-10,0.0000e+00,0
frozen_lab_nm,1.000e-21,1,6.257e-06,2.4609e-09,0.0000e+00,0
frozen_lab_nm,1.000e-21,10,6.257e-06,1.3839e-08,0.0000e+00,0
frozen_lab_nm,1.000e-21,100,6.257e-06,7.7820e-08,0.0000e+00,0
frozen_lab_nm,1.000e-21,1e+03,6.257e-06,5.0116e-07,0.0000e+00,0
frozen_lab_nm,3.162e-21,0.1,6.257e-06,2.4610e-09,0.0000e+00,0
frozen_lab_nm,3.162e-21,1,6.257e-06,1.3839e-08,0.0000e+00,0
frozen_lab_nm,3.162e-21,10,6.257e-06,7.7820e-08,0.0000e+00,0
frozen_lab_nm,3.162e-21,100,6.257e-06,5.0116e-07,0.0000e+00,0
frozen_lab_nm,3.162e-21,1e+03,6.257e-06,7.1533e-07,0.0000e+00,0
frozen_lab_nm,1.000e-20,0.1,6.257e-06,1.3838e-08,1.7752e-08,0
frozen_lab_nm,1.000e-20,1,6.257e-06,7.7820e-08,0.0000e+00,0
frozen_lab_nm,1.000e-20,10,6.257e-06,5.0116e-07,0.0000e+00,0
frozen_lab_nm,1.000e-20,100,6.257e-06,7.1533e-07,0.0000e+00,0
frozen_lab_nm,1.000e-20,1e+03,6.257e-06,1.7106e-06,0.0000e+00,0
frozen_lab_nm,3.162e-20,0.1,6.257e-06,7.7820e-08,5.2637e-08,0
frozen_lab_nm,3.162e-20,1,6.257e-06,5.0116e-07,0.0000e+00,0
frozen_lab_nm,3.162e-20,10,6.257e-06,7.1533e-07,0.0000e+00,0
frozen_lab_nm,3.162e-20,100,6.257e-06,1.7106e-06,0.0000e+00,0
frozen_lab_nm,3.162e-20,1e+03,6.257e-06,1.0540e-05,0.0000e+00,0
frozen_lab_nm,1.000e-19,0.1,6.257e-06,5.0116e-07,1.4228e-07,0
frozen_lab_nm,1.000e-19,1,6.257e-06,7.1533e-07,0.0000e+00,0
frozen_lab_nm,1.000e-19,10,6.257e-06,1.7106e-06,0.0000e+00,0
frozen_lab_nm,1.000e-19,100,6.257e-06,1.0540e-05,0.0000e+00,0
