config_id,source,keying,surface,mode,family_semantics,threshold_fraction,support_width,family_size,rows,orientation_bins,low_rows,high_rows,estimable_low_high,medium_rows,mean_orientation_overlap
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,augmented_exact_k,0.25,3,4,2142,high;medium,0,798,False,1344,0.17855693496873115
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,augmented_exact_k,0.25,4,5,1980,high;medium,0,81,False,1899,0.13538877095018614
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,augmented_exact_k,0.5,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,augmented_exact_k,0.5,2,3,1935,high;medium,0,1915,False,20,0.27940858500290017
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,augmented_exact_k,0.5,3,4,2142,high,0,2142,False,0,0.4113682655082039
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,augmented_exact_k,0.5,4,7,1980,high,0,1980,False,0,0.2938562519914211
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,augmented_exact_k,0.75,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,augmented_exact_k,0.75,2,1,1935,low;medium,1143,0,False,792,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,augmented_exact_k,0.75,3,1,2142,low;medium,1284,0,False,858,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,augmented_exact_k,0.75,4,5,1980,high,0,1980,False,0,0.5045541531967909
