native_certification_regime,mode,family_semantics,severity,threshold_fraction,native_overlap_bin,overlap_weight_profile,samples,support_width_count,mean_support_width,mean_family_size,mean_weighted_native_overlap,mean_induced_certificate_correlation,certification_rescue_rate,family_certification_resilience_rate,family_internal_loss_rate,strict_parent_loss_rate,comparison_valid_rate,metric_artifact_risk_rate,mean_apples_to_apples_loss_delta
native_overlap_induced,orientation_degradation,augmented_exact_k,0.0,0.5,medium,balanced,1346,3,3.007429,4.661218,0.476695,0.476695,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,augmented_exact_k,0.0,0.75,high,balanced,2004,4,1.755489,1.087824,0.992851,0.992851,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,augmented_exact_k,0.0,0.75,medium,balanced,396,1,4.0,5.0,0.647141,0.647141,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,augmented_exact_k,0.0,1.0,high,balanced,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,augmented_exact_k,0.25,0.25,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.870019,0.129981,0.129981,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,augmented_exact_k,0.25,0.25,low,balanced,896,2,3.491071,4.491071,0.250781,0.250781,0.18192,0.933036,0.066964,0.248884,1.0,0.0,-0.18192
native_overlap_induced,orientation_degradation,augmented_exact_k,0.25,0.25,medium,balanced,450,2,2.044444,3.044444,0.432663,0.432663,0.131111,0.9,0.1,0.231111,1.0,0.0,-0.131111
native_overlap_induced,orientation_degradation,augmented_exact_k,0.25,0.5,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.870019,0.129981,0.129981,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,augmented_exact_k,0.25,0.5,medium,balanced,1346,3,3.007429,4.661218,0.476695,0.476695,0.134473,0.896731,0.103269,0.237741,1.0,0.0,-0.134473
native_overlap_induced,orientation_degradation,augmented_exact_k,0.25,0.75,high,balanced,2004,4,1.755489,1.087824,0.992851,0.992851,0.002495,0.833832,0.166168,0.168663,1.0,0.0,-0.002495
native_overlap_induced,orientation_degradation,augmented_exact_k,0.25,0.75,medium,balanced,396,1,4.0,5.0,0.647141,0.647141,0.090909,0.856061,0.143939,0.234848,1.0,0.0,-0.090909
native_overlap_induced,orientation_degradation,augmented_exact_k,0.25,1.0,high,balanced,2400,4,2.125833,1.0,1.0,1.0,0.0,0.79375,0.20625,0.20625,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,augmented_exact_k,0.5,0.25,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.457306,0.542694,0.542694,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,augmented_exact_k,0.5,0.25,low,balanced,896,2,3.491071,4.491071,0.250781,0.250781,0.308036,0.825893,0.174107,0.482143,1.0,0.0,-0.308036
native_overlap_induced,orientation_degradation,augmented_exact_k,0.5,0.25,medium,balanced,450,2,2.044444,3.044444,0.432663,0.432663,0.186667,0.724444,0.275556,0.462222,1.0,0.0,-0.186667
native_overlap_induced,orientation_degradation,augmented_exact_k,0.5,0.5,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.457306,0.542694,0.542694,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,augmented_exact_k,0.5,0.5,medium,balanced,1346,3,3.007429,4.661218,0.476695,0.476695,0.223626,0.735513,0.264487,0.488113,1.0,0.0,-0.223626
native_overlap_induced,orientation_degradation,augmented_exact_k,0.5,0.75,high,balanced,2004,4,1.755489,1.087824,0.992851,0.992851,0.002495,0.494012,0.505988,0.508483,1.0,0.0,-0.002495
native_overlap_induced,orientation_degradation,augmented_exact_k,0.5,0.75,medium,balanced,396,1,4.0,5.0,0.647141,0.647141,0.181818,0.681818,0.318182,0.5,1.0,0.0,-0.181818
native_overlap_induced,orientation_degradation,augmented_exact_k,0.5,1.0,high,balanced,2400,4,2.125833,1.0,1.0,1.0,0.0,0.475,0.525,0.525,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,augmented_exact_k,0.75,0.25,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.267552,0.732448,0.732448,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,augmented_exact_k,0.75,0.25,low,balanced,896,2,3.491071,4.491071,0.250781,0.250781,0.368304,0.629464,0.370536,0.738839,1.0,0.0,-0.368304
native_overlap_induced,orientation_degradation,augmented_exact_k,0.75,0.25,medium,balanced,450,2,2.044444,3.044444,0.432663,0.432663,0.184444,0.457778,0.542222,0.726667,1.0,0.0,-0.184444
native_overlap_induced,orientation_degradation,augmented_exact_k,0.75,0.5,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.267552,0.732448,0.732448,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,augmented_exact_k,0.75,0.5,medium,balanced,1346,3,3.007429,4.661218,0.476695,0.476695,0.239227,0.491085,0.508915,0.748143,1.0,0.0,-0.239227
native_overlap_induced,orientation_degradation,augmented_exact_k,0.75,0.75,high,balanced,2004,4,1.755489,1.087824,0.992851,0.992851,0.003992,0.249501,0.750499,0.754491,1.0,0.0,-0.003992
native_overlap_induced,orientation_degradation,augmented_exact_k,0.75,0.75,medium,balanced,396,1,4.0,5.0,0.647141,0.647141,0.184343,0.439394,0.560606,0.744949,1.0,0.0,-0.184343
