row_id,mode,family_semantics,severity,threshold_fraction,support_width,family_size,samples,support_overlap,frontier_overlap,legacy_orientation_overlap,support_frontier_overlap,per_graph_orientation_link_overlap,per_graph_orientation_link_bin,support_frontier_bin,certification_rescue_rate,per_graph_orientation_adjusted_rescue_rate,orientation_overlap_source
99,ledger_failure,augmented_exact_k,0.25,0.25,4,10,440,0.1,0.1,0.1,0.1,0.17353535353535354,low,low,0.193182,0.049587878787878785,per_graph_member_witness_tokens
100,ledger_failure,augmented_exact_k,0.25,0.5,1,10,1054,1.0,1.0,1.0,1.0,0.3796296296296296,medium,high,0.0,0.037222222222222226,per_graph_member_witness_tokens
101,ledger_failure,augmented_exact_k,0.25,0.5,2,10,430,0.333333,0.333333,0.333333,0.333333,0.3558201058201059,medium,low,0.134884,0.038650793650793644,per_graph_member_witness_tokens
102,ledger_failure,augmented_exact_k,0.25,0.5,3,10,476,0.5,0.5,0.5,0.5,0.18421652421652418,low,medium,0.086134,0.04894700854700856,per_graph_member_witness_tokens
103,ledger_failure,augmented_exact_k,0.25,0.5,4,10,440,0.333333,0.333333,0.333333,0.333333,0.1974151774151774,low,low,0.147727,0.048155089355089366,per_graph_member_witness_tokens
104,ledger_failure,augmented_exact_k,0.25,0.75,1,10,1054,1.0,1.0,1.0,1.0,0.3769841269841269,medium,high,0.0,0.03738095238095238,per_graph_member_witness_tokens
105,ledger_failure,augmented_exact_k,0.25,0.75,2,10,430,1.0,1.0,1.0,1.0,0.32433862433862437,low,high,0.0,0.04053968253968254,per_graph_member_witness_tokens
106,ledger_failure,augmented_exact_k,0.25,0.75,3,10,476,1.0,1.0,1.0,1.0,0.21683945683945677,low,high,0.0,0.0469896325896326,per_graph_member_witness_tokens
107,ledger_failure,augmented_exact_k,0.25,0.75,4,10,440,0.6,0.6,0.6,0.6,0.19254375254375253,low,medium,0.075,0.04844737484737485,per_graph_member_witness_tokens
108,ledger_failure,augmented_exact_k,0.25,1.0,1,10,1054,1.0,1.0,1.0,1.0,0.3637566137566138,medium,high,0.0,0.03817460317460318,per_graph_member_witness_tokens
109,ledger_failure,augmented_exact_k,0.25,1.0,2,10,430,1.0,1.0,1.0,1.0,0.32730158730158726,low,high,0.0,0.040361904761904766,per_graph_member_witness_tokens
110,ledger_failure,augmented_exact_k,0.25,1.0,3,10,476,1.0,1.0,1.0,1.0,0.22261146261146256,low,high,0.0,0.046643312243312245,per_graph_member_witness_tokens
111,ledger_failure,augmented_exact_k,0.25,1.0,4,10,440,1.0,1.0,1.0,1.0,0.20937944408532644,low,high,0.0,0.04743723335488041,per_graph_member_witness_tokens
112,ledger_failure,augmented_exact_k,0.5,0.25,1,10,1054,1.0,1.0,1.0,1.0,0.3637566137566138,medium,high,0.0,0.0508994708994709,per_graph_member_witness_tokens
113,ledger_failure,augmented_exact_k,0.5,0.25,2,10,430,0.333333,0.333333,0.333333,0.333333,0.3849206349206349,medium,low,0.25814,0.04920634920634921,per_graph_member_witness_tokens
114,ledger_failure,augmented_exact_k,0.5,0.25,3,10,476,0.166667,0.166667,0.166667,0.166667,0.1795286195286195,low,low,0.298319,0.06563771043771044,per_graph_member_witness_tokens
115,ledger_failure,augmented_exact_k,0.5,0.25,4,10,440,0.1,0.1,0.1,0.1,0.172996632996633,low,low,0.381818,0.06616026936026936,per_graph_member_witness_tokens
116,ledger_failure,augmented_exact_k,0.5,0.5,1,10,1054,1.0,1.0,1.0,1.0,0.3743386243386243,medium,high,0.0,0.05005291005291006,per_graph_member_witness_tokens
117,ledger_failure,augmented_exact_k,0.5,0.5,2,10,430,0.333333,0.333333,0.333333,0.333333,0.35846560846560843,medium,low,0.25814,0.05132275132275133,per_graph_member_witness_tokens
118,ledger_failure,augmented_exact_k,0.5,0.5,3,10,476,0.5,0.5,0.5,0.5,0.21434861434861432,low,medium,0.168067,0.06285211085211086,per_graph_member_witness_tokens
119,ledger_failure,augmented_exact_k,0.5,0.5,4,10,440,0.333333,0.333333,0.333333,0.333333,0.19103341103341098,low,low,0.295455,0.06471732711732713,per_graph_member_witness_tokens
120,ledger_failure,augmented_exact_k,0.5,0.75,1,10,1054,1.0,1.0,1.0,1.0,0.3637566137566138,medium,high,0.0,0.0508994708994709,per_graph_member_witness_tokens
121,ledger_failure,augmented_exact_k,0.5,0.75,2,10,430,1.0,1.0,1.0,1.0,0.3148148148148148,low,high,0.0,0.05481481481481481,per_graph_member_witness_tokens
122,ledger_failure,augmented_exact_k,0.5,0.75,3,10,476,1.0,1.0,1.0,1.0,0.20932696932696926,low,high,0.0,0.06325384245384245,per_graph_member_witness_tokens
123,ledger_failure,augmented_exact_k,0.5,0.75,4,10,440,0.6,0.6,0.6,0.6,0.19803751803751793,low,medium,0.172727,0.06415699855699857,per_graph_member_witness_tokens
124,ledger_failure,augmented_exact_k,0.5,1.0,1,10,1054,1.0,1.0,1.0,1.0,0.3637566137566137,medium,high,0.0,0.0508994708994709,per_graph_member_witness_tokens
125,ledger_failure,augmented_exact_k,0.5,1.0,2,10,430,1.0,1.0,1.0,1.0,0.31999999999999995,low,high,0.0,0.054400000000000004,per_graph_member_witness_tokens
126,ledger_failure,augmented_exact_k,0.5,1.0,3,10,476,1.0,1.0,1.0,1.0,0.1959536759536759,low,high,0.0,0.06432370592370593,per_graph_member_witness_tokens
127,ledger_failure,augmented_exact_k,0.5,1.0,4,10,440,1.0,1.0,1.0,1.0,0.19571105365223013,low,high,0.0,0.06434311570782159,per_graph_member_witness_tokens
128,ledger_failure,augmented_exact_k,0.75,0.25,1,10,1054,1.0,1.0,1.0,1.0,0.37433862433862425,medium,high,0.0,0.06256613756613758,per_graph_member_witness_tokens
129,ledger_failure,augmented_exact_k,0.75,0.25,2,10,430,0.333333,0.333333,0.333333,0.333333,0.3743386243386243,medium,low,0.162791,0.06256613756613758,per_graph_member_witness_tokens
130,ledger_failure,augmented_exact_k,0.75,0.25,3,10,476,0.166667,0.166667,0.166667,0.166667,0.21259259259259264,low,low,0.294118,0.07874074074074074,per_graph_member_witness_tokens
131,ledger_failure,augmented_exact_k,0.75,0.25,4,10,440,0.1,0.1,0.1,0.1,0.18558922558922558,low,low,0.395455,0.08144107744107745,per_graph_member_witness_tokens
132,ledger_failure,augmented_exact_k,0.75,0.5,1,10,1054,1.0,1.0,1.0,1.0,0.3571428571428571,medium,high,0.0,0.0642857142857143,per_graph_member_witness_tokens
133,ledger_failure,augmented_exact_k,0.75,0.5,2,10,430,0.333333,0.333333,0.333333,0.333333,0.3888888888888888,medium,low,0.162791,0.061111111111111116,per_graph_member_witness_tokens
