mode,family_semantics,severity,threshold_fraction,support_width,samples,mean_weighted_native_overlap,mean_induced_certificate_correlation,certification_rescue_rate,primary_signal_semantics,guardrail_semantics,anchoring_status,support_overlap,frontier_overlap,orientation_overlap,ledger_overlap,causal_past_overlap,bdg_kernel_overlap,firewall_overlap,orientation_link_overlap,orientation_link_bin,support_frontier_overlap,support_frontier_bin,orientation_link_count_proxy,old_orientation_triplet_diff,orientation_surface_status,orientation_surface_adjusted_rescue_rate,orientation_specific_sensitivity_proxy,ledger_specific_sensitivity_proxy
ledger_failure,at_least_k,1.0,0.5,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23019865295838599,low,1.0,high,1,0.0,distinct_orientation_link_surface,0.0,0.1154702020562421,0.0
ledger_failure,at_least_k,1.0,0.5,2,430,0.435563,0.435563,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658,0.8456692146096545,high,0.333333,low,2,0.0,distinct_orientation_link_surface,0.15407964,0.023149617808551824,0.35018099999999996
ledger_failure,at_least_k,1.0,0.5,3,476,0.565849,0.565849,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.5,0.5,0.5,0.716662,0.598398,0.5822,0.585274,0.5669671234708829,medium,0.5,medium,1,0.0,distinct_orientation_link_surface,0.12466872,0.06495493147936757,0.283338
ledger_failure,at_least_k,1.0,0.5,4,440,0.508639,0.508639,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.436364,0.436364,0.436364,0.678448,0.543352,0.524495,0.524466,0.5563665597497565,medium,0.436364,medium,5,0.0,distinct_orientation_link_surface,0.14148287999999998,0.06654501603753653,0.32155199999999995
ledger_failure,at_least_k,1.0,0.75,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5281012293631966,medium,1.0,high,5,0.0,distinct_orientation_link_surface,0.0,0.07078481559552051,0.0
ledger_failure,at_least_k,1.0,0.75,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35810392156011905,medium,1.0,high,5,0.0,distinct_orientation_link_surface,0.0,0.09628441176598214,0.0
ledger_failure,at_least_k,1.0,0.75,3,476,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29183934313240384,low,1.0,high,4,0.0,distinct_orientation_link_surface,0.0,0.10622409853013944,0.0
ledger_failure,at_least_k,1.0,0.75,4,440,0.649869,0.649869,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.6,0.6,0.6,0.775978,0.678955,0.663139,0.63005,0.4715835618591185,medium,0.6,medium,7,0.0,distinct_orientation_link_surface,0.09856968000000002,0.07926246572113223,0.22402200000000005
ledger_failure,at_least_k,1.0,1.0,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3644032011816504,medium,1.0,high,6,0.0,distinct_orientation_link_surface,0.0,0.09533951982275242,0.0
ledger_failure,at_least_k,1.0,1.0,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35510770586011514,medium,1.0,high,1,0.0,distinct_orientation_link_surface,0.0,0.09673384412098274,0.0
