motif,site,mode,severity,seed,support_width,before_supported,before_ready,before_strict_commits,before_selected_commits,after_supported,after_ready,after_strict_commits,after_selected_commits,lost_support,lost_readiness,lost_strict_commit,lost_selected_commit,finality_depth_before,finality_depth_after,finality_depth_shift,recovery_length,intervention_detail,run_seed,nodes,edges,motifs,target_count
renewal_9,9,selector_stress,1.0,103,1,True,True,True,True,True,True,False,True,False,False,True,False,8,8,0,0,added_incompatible_competitors=3 domain=severance_selector_stress:renewal_9:9,33,17,20,27,12
renewal_8,8,selector_stress,1.0,103,1,True,True,True,True,True,True,False,True,False,False,True,False,7,7,0,0,added_incompatible_competitors=3 domain=severance_selector_stress:renewal_8:8,33,17,20,27,12
renewal_7,7,selector_stress,1.0,103,1,True,True,True,True,True,True,False,True,False,False,True,False,6,6,0,0,added_incompatible_competitors=3 domain=severance_selector_stress:renewal_7:7,33,17,20,27,12
renewal_6,6,selector_stress,1.0,103,1,True,True,True,True,True,True,False,True,False,False,True,False,5,5,0,0,added_incompatible_competitors=3 domain=severance_selector_stress:renewal_6:6,33,17,20,27,12
renewal_5,5,selector_stress,1.0,103,1,True,True,True,True,True,True,False,True,False,False,True,False,4,4,0,0,added_incompatible_competitors=3 domain=severance_selector_stress:renewal_5:5,33,17,20,27,12
renewal_4,4,selector_stress,1.0,103,1,True,True,True,True,True,True,False,True,False,False,True,False,3,3,0,0,added_incompatible_competitors=3 domain=severance_selector_stress:renewal_4:4,33,17,20,27,12
renewal_3,3,selector_stress,1.0,103,1,True,True,True,True,True,True,False,True,False,False,True,False,2,2,0,0,added_incompatible_competitors=3 domain=severance_selector_stress:renewal_3:3,33,17,20,27,12
renewal_2,2,selector_stress,1.0,103,1,True,True,True,True,True,True,False,True,False,False,True,False,1,1,0,0,added_incompatible_competitors=3 domain=severance_selector_stress:renewal_2:2,33,17,20,27,12
renewal_1,1,selector_stress,1.0,103,1,True,True,True,True,True,True,False,True,False,False,True,False,0,0,0,0,added_incompatible_competitors=3 domain=severance_selector_stress:renewal_1:1,33,17,20,27,12
renewal_12,12,selector_stress,0.75,103,1,True,True,True,True,True,True,False,True,False,False,True,False,11,11,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_12:12,33,17,20,27,12
renewal_11,11,selector_stress,0.75,103,1,True,True,True,True,True,True,False,True,False,False,True,False,10,10,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_11:11,33,17,20,27,12
renewal_10,10,selector_stress,0.75,103,1,True,True,True,True,True,True,False,True,False,False,True,False,9,9,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_10:10,33,17,20,27,12
renewal_9,9,selector_stress,0.75,103,1,True,True,True,True,True,True,False,True,False,False,True,False,8,8,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_9:9,33,17,20,27,12
renewal_8,8,selector_stress,0.75,103,1,True,True,True,True,True,True,False,True,False,False,True,False,7,7,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_8:8,33,17,20,27,12
renewal_7,7,selector_stress,0.75,103,1,True,True,True,True,True,True,False,True,False,False,True,False,6,6,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_7:7,33,17,20,27,12
renewal_6,6,selector_stress,0.75,103,1,True,True,True,True,True,True,False,True,False,False,True,False,5,5,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_6:6,33,17,20,27,12
renewal_5,5,selector_stress,0.75,103,1,True,True,True,True,True,True,False,True,False,False,True,False,4,4,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_5:5,33,17,20,27,12
renewal_4,4,selector_stress,0.75,103,1,True,True,True,True,True,True,False,True,False,False,True,False,3,3,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_4:4,33,17,20,27,12
renewal_3,3,selector_stress,0.75,103,1,True,True,True,True,True,True,False,True,False,False,True,False,2,2,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_3:3,33,17,20,27,12
renewal_2,2,selector_stress,0.75,103,1,True,True,True,True,True,True,False,True,False,False,True,False,1,1,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_2:2,33,17,20,27,12
renewal_1,1,selector_stress,0.75,103,1,True,True,True,True,True,True,False,True,False,False,True,False,0,0,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_1:1,33,17,20,27,12
renewal_12,12,selector_stress,0.5,103,1,True,True,True,True,True,True,False,True,False,False,True,False,11,11,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_12:12,33,17,20,27,12
renewal_11,11,selector_stress,0.5,103,1,True,True,True,True,True,True,False,True,False,False,True,False,10,10,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_11:11,33,17,20,27,12
renewal_10,10,selector_stress,0.5,103,1,True,True,True,True,True,True,False,True,False,False,True,False,9,9,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_10:10,33,17,20,27,12
renewal_9,9,selector_stress,0.5,103,1,True,True,True,True,True,True,False,True,False,False,True,False,8,8,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_9:9,33,17,20,27,12
renewal_8,8,selector_stress,0.5,103,1,True,True,True,True,True,True,False,True,False,False,True,False,7,7,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_8:8,33,17,20,27,12
renewal_7,7,selector_stress,0.5,103,1,True,True,True,True,True,True,False,True,False,False,True,False,6,6,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_7:7,33,17,20,27,12
renewal_6,6,selector_stress,0.5,103,1,True,True,True,True,True,True,False,True,False,False,True,False,5,5,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_6:6,33,17,20,27,12
renewal_5,5,selector_stress,0.5,103,1,True,True,True,True,True,True,False,True,False,False,True,False,4,4,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_5:5,33,17,20,27,12
renewal_4,4,selector_stress,0.5,103,1,True,True,True,True,True,True,False,True,False,False,True,False,3,3,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_4:4,33,17,20,27,12
renewal_3,3,selector_stress,0.5,103,1,True,True,True,True,True,True,False,True,False,False,True,False,2,2,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_3:3,33,17,20,27,12
renewal_2,2,selector_stress,0.5,103,1,True,True,True,True,True,True,False,True,False,False,True,False,1,1,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_2:2,33,17,20,27,12
renewal_1,1,selector_stress,0.5,103,1,True,True,True,True,True,True,False,True,False,False,True,False,0,0,0,0,added_incompatible_competitors=2 domain=severance_selector_stress:renewal_1:1,33,17,20,27,12
renewal_12,12,selector_stress,0.25,103,1,True,True,True,True,True,True,False,True,False,False,True,False,11,11,0,0,added_incompatible_competitors=1 domain=severance_selector_stress:renewal_12:12,33,17,20,27,12
