family_semantics,certification_regime,mode,severity,threshold_fraction,samples,support_width_count,mean_support_width,mean_family_size,strict_loss_rate,family_loss_rate,family_rescue_rate,no_worse_violation_rate,mean_loss_reduction_vs_strict,strict_cut_inclusion_rate,mean_uncertified_cut_count,mean_unavailable_support_count,mean_family_recovery_length
at_least_k,parent_shared,frontier_dropout,0.5,0.5,2400,4,2.125833,3.786667,1.0,0.6375,0.3625,0.0,0.3625,1.0,0.0,1.381667,0.0
at_least_k,parent_shared,frontier_dropout,0.5,0.75,2400,4,2.125833,1.733333,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.381667,
at_least_k,parent_shared,frontier_dropout,0.5,1.0,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.381667,
at_least_k,parent_shared,frontier_dropout,0.75,0.25,2400,4,2.125833,5.115,1.0,0.816667,0.183333,0.0,0.183333,1.0,0.0,1.9425,0.0
at_least_k,parent_shared,frontier_dropout,0.75,0.5,2400,4,2.125833,3.786667,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.9425,
at_least_k,parent_shared,frontier_dropout,0.75,0.75,2400,4,2.125833,1.733333,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.9425,
at_least_k,parent_shared,frontier_dropout,0.75,1.0,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.9425,
at_least_k,parent_shared,frontier_dropout,1.0,0.25,2400,4,2.125833,5.115,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.125833,
at_least_k,parent_shared,frontier_dropout,1.0,0.5,2400,4,2.125833,3.786667,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.125833,
at_least_k,parent_shared,frontier_dropout,1.0,0.75,2400,4,2.125833,1.733333,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.125833,
at_least_k,parent_shared,frontier_dropout,1.0,1.0,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.125833,
at_least_k,parent_shared,ledger_failure,0.0,0.25,2400,4,2.125833,5.115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,parent_shared,ledger_failure,0.0,0.5,2400,4,2.125833,3.786667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,parent_shared,ledger_failure,0.0,0.75,2400,4,2.125833,1.733333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,parent_shared,ledger_failure,0.0,1.0,2400,4,2.125833,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,parent_shared,ledger_failure,0.25,0.25,2400,4,2.125833,5.115,0.15875,0.15875,0.0,0.0,0.0,1.0,1.024583,0.0,0.0
at_least_k,parent_shared,ledger_failure,0.25,0.5,2400,4,2.125833,3.786667,0.15875,0.15875,0.0,0.0,0.0,1.0,0.74875,0.0,0.0
at_least_k,parent_shared,ledger_failure,0.25,0.75,2400,4,2.125833,1.733333,0.15875,0.15875,0.0,0.0,0.0,1.0,0.322083,0.0,0.0
at_least_k,parent_shared,ledger_failure,0.25,1.0,2400,4,2.125833,1.0,0.15875,0.15875,0.0,0.0,0.0,1.0,0.15875,0.0,0.0
at_least_k,parent_shared,ledger_failure,0.5,0.25,2400,4,2.125833,5.115,0.54375,0.54375,0.0,0.0,0.0,1.0,2.367917,0.0,0.0
at_least_k,parent_shared,ledger_failure,0.5,0.5,2400,4,2.125833,3.786667,0.54375,0.54375,0.0,0.0,0.0,1.0,1.8225,0.0,0.0
