run_seed,motif,motif_kind,site,threshold_fraction,family_semantics,support_width,family_size,pair_count,active_all_pairs_orientation_jaccard,active_parent_anchored_orientation_jaccard,active_orientation_overlap_bin,bad_member_indexed_all_pairs_jaccard,member_index_delta
18,renewal_24,renewal,24,0.25,augmented_exact_k,4,5,10,0.1,0.089286,low,0.021429,0.078571
18,renewal_4,renewal,4,1.0,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_4,renewal,4,1.0,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_4,renewal,4,0.75,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_4,renewal,4,0.75,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_4,renewal,4,0.5,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_4,renewal,4,0.5,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_4,renewal,4,0.25,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_4,renewal,4,0.25,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_5,renewal,5,1.0,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_5,renewal,5,1.0,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_5,renewal,5,0.75,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_5,renewal,5,0.75,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_5,renewal,5,0.5,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_5,renewal,5,0.5,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_5,renewal,5,0.25,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_5,renewal,5,0.25,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_1,renewal,1,1.0,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_1,renewal,1,1.0,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_1,renewal,1,0.75,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_1,renewal,1,0.75,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_1,renewal,1,0.5,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_1,renewal,1,0.5,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_1,renewal,1,0.25,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_1,renewal,1,0.25,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
19,renewal_7,renewal,7,1.0,at_least_k,2,1,0,0.0,0.0,low,0.0,0.0
19,renewal_7,renewal,7,1.0,augmented_exact_k,2,1,0,0.0,0.0,low,0.0,0.0
19,renewal_7,renewal,7,0.75,at_least_k,2,1,0,0.0,0.0,low,0.0,0.0
19,renewal_7,renewal,7,0.75,augmented_exact_k,2,1,0,0.0,0.0,low,0.0,0.0
19,renewal_7,renewal,7,0.5,at_least_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
19,renewal_7,renewal,7,0.5,augmented_exact_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
19,renewal_7,renewal,7,0.25,at_least_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
19,renewal_7,renewal,7,0.25,augmented_exact_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
19,renewal_15,renewal,15,1.0,at_least_k,3,1,0,0.0,0.0,low,0.0,0.0
19,renewal_15,renewal,15,1.0,augmented_exact_k,3,1,0,0.0,0.0,low,0.0,0.0
