run_seed,motif,threshold_fraction,family_semantics,same_cut_graph_tokens_stable,same_cut_member_indexed_tokens_stable,graph_surface_uses_member_index,bad_control_uses_member_index
20,renewal_3,0.75,at_least_k,True,False,False,True
20,renewal_3,0.75,augmented_exact_k,True,False,False,True
20,renewal_3,0.5,at_least_k,True,False,False,True
20,renewal_3,0.5,augmented_exact_k,True,False,False,True
20,renewal_3,0.25,at_least_k,True,False,False,True
20,renewal_3,0.25,augmented_exact_k,True,False,False,True
20,renewal_25,1.0,at_least_k,True,False,False,True
20,renewal_25,1.0,augmented_exact_k,True,False,False,True
20,renewal_25,0.75,at_least_k,True,False,False,True
20,renewal_25,0.75,augmented_exact_k,True,False,False,True
20,renewal_25,0.5,at_least_k,True,False,False,True
20,renewal_25,0.5,augmented_exact_k,True,False,False,True
20,renewal_25,0.25,at_least_k,True,False,False,True
20,renewal_25,0.25,augmented_exact_k,True,False,False,True
20,renewal_4,1.0,at_least_k,True,False,False,True
20,renewal_4,1.0,augmented_exact_k,True,False,False,True
20,renewal_4,0.75,at_least_k,True,False,False,True
20,renewal_4,0.75,augmented_exact_k,True,False,False,True
20,renewal_4,0.5,at_least_k,True,False,False,True
20,renewal_4,0.5,augmented_exact_k,True,False,False,True
20,renewal_4,0.25,at_least_k,True,False,False,True
20,renewal_4,0.25,augmented_exact_k,True,False,False,True
20,renewal_5,1.0,at_least_k,True,False,False,True
20,renewal_5,1.0,augmented_exact_k,True,False,False,True
20,renewal_5,0.75,at_least_k,True,False,False,True
20,renewal_5,0.75,augmented_exact_k,True,False,False,True
20,renewal_5,0.5,at_least_k,True,False,False,True
20,renewal_5,0.5,augmented_exact_k,True,False,False,True
20,renewal_5,0.25,at_least_k,True,False,False,True
20,renewal_5,0.25,augmented_exact_k,True,False,False,True
20,renewal_6,1.0,at_least_k,True,False,False,True
20,renewal_6,1.0,augmented_exact_k,True,False,False,True
20,renewal_6,0.75,at_least_k,True,False,False,True
20,renewal_6,0.75,augmented_exact_k,True,False,False,True
20,renewal_6,0.5,at_least_k,True,False,False,True
20,renewal_6,0.5,augmented_exact_k,True,False,False,True
20,renewal_6,0.25,at_least_k,True,False,False,True
20,renewal_6,0.25,augmented_exact_k,True,False,False,True
20,renewal_7,1.0,at_least_k,True,False,False,True
20,renewal_7,1.0,augmented_exact_k,True,False,False,True
20,renewal_7,0.75,at_least_k,True,False,False,True
20,renewal_7,0.75,augmented_exact_k,True,False,False,True
20,renewal_7,0.5,at_least_k,True,False,False,True
20,renewal_7,0.5,augmented_exact_k,True,False,False,True
20,renewal_7,0.25,at_least_k,True,False,False,True
20,renewal_7,0.25,augmented_exact_k,True,False,False,True
21,renewal_1,1.0,at_least_k,True,False,False,True
21,renewal_1,1.0,augmented_exact_k,True,False,False,True
21,renewal_1,0.75,at_least_k,True,False,False,True
21,renewal_1,0.75,augmented_exact_k,True,False,False,True
21,renewal_1,0.5,at_least_k,True,False,False,True
21,renewal_1,0.5,augmented_exact_k,True,False,False,True
21,renewal_1,0.25,at_least_k,True,False,False,True
21,renewal_1,0.25,augmented_exact_k,True,False,False,True
21,renewal_12,1.0,at_least_k,True,False,False,True
21,renewal_12,1.0,augmented_exact_k,True,False,False,True
21,renewal_12,0.75,at_least_k,True,False,False,True
21,renewal_12,0.75,augmented_exact_k,True,False,False,True
21,renewal_12,0.5,at_least_k,True,False,False,True
21,renewal_12,0.5,augmented_exact_k,True,False,False,True
21,renewal_12,0.25,at_least_k,True,False,False,True
21,renewal_12,0.25,augmented_exact_k,True,False,False,True
21,renewal_15,1.0,at_least_k,True,False,False,True
