keying,mode,family_semantics,orientation_bin,rows,rescue_rate,mean_family_size,family_size_min,family_size_max,family_size_counts,singleton_family_fraction
member_indexed_edge_pair,ledger_failure,augmented_exact_k,low,10800,0.0824074074074074,2.197037037037037,1,5,1:6482;3:1420;4:1504;5:1394,0.6001851851851852
member_indexed_edge_pair,ledger_failure,augmented_exact_k,medium,10800,0.08083333333333333,2.239259259259259,1,5,1:6378;3:1352;4:1600;5:1470,0.5905555555555555
member_indexed_edge_pair,orientation_degradation,at_least_k,high,10800,0.17148148148148148,6.932407407407408,1,15,1:3343;3:696;4:330;5:329;7:2142;11:1980;15:1980,0.30953703703703705
member_indexed_edge_pair,orientation_degradation,at_least_k,low,10800,0.050555555555555555,1.847962962962963,1,5,1:7494;3:1606;4:854;5:846,0.6938888888888889
member_indexed_edge_pair,orientation_degradation,at_least_k,medium,10800,0.04898148148148148,1.8546296296296296,1,5,1:7469;3:1568;4:958;5:805,0.6915740740740741
member_indexed_edge_pair,orientation_degradation,augmented_exact_k,high,10800,0.1112962962962963,3.037037037037037,1,7,1:5446;3:1098;4:1180;5:1096;7:1980,0.5042592592592593
member_indexed_edge_pair,orientation_degradation,augmented_exact_k,low,10800,0.08194444444444444,2.197037037037037,1,5,1:6482;3:1420;4:1504;5:1394,0.6001851851851852
member_indexed_edge_pair,orientation_degradation,augmented_exact_k,medium,10800,0.0849074074074074,2.239259259259259,1,5,1:6378;3:1352;4:1600;5:1470,0.5905555555555555
member_indexed_edge_pair,selector_stress,at_least_k,high,10800,0.0,6.932407407407408,1,15,1:3343;3:696;4:330;5:329;7:2142;11:1980;15:1980,0.30953703703703705
member_indexed_edge_pair,selector_stress,at_least_k,low,10800,0.0,1.847962962962963,1,5,1:7494;3:1606;4:854;5:846,0.6938888888888889
member_indexed_edge_pair,selector_stress,at_least_k,medium,10800,0.0,1.8546296296296296,1,5,1:7469;3:1568;4:958;5:805,0.6915740740740741
member_indexed_edge_pair,selector_stress,augmented_exact_k,high,10800,0.0,3.037037037037037,1,7,1:5446;3:1098;4:1180;5:1096;7:1980,0.5042592592592593
member_indexed_edge_pair,selector_stress,augmented_exact_k,low,10800,0.0,2.197037037037037,1,5,1:6482;3:1420;4:1504;5:1394,0.6001851851851852
member_indexed_edge_pair,selector_stress,augmented_exact_k,medium,10800,0.0,2.239259259259259,1,5,1:6378;3:1352;4:1600;5:1470,0.5905555555555555
shuffled_overlap_control,ledger_failure,at_least_k,high,10800,0.21175925925925926,7.9175,3,15,3:1093;4:1843;5:1975;7:1929;11:1980;15:1980,0.0
shuffled_overlap_control,ledger_failure,at_least_k,low,10800,0.02675925925925926,1.3214814814814815,1,7,1:9209;3:1409;4:144;5:3;7:35,0.8526851851851852
shuffled_overlap_control,ledger_failure,at_least_k,medium,10800,0.029444444444444443,1.3960185185185185,1,7,1:9097;3:1368;4:155;5:2;7:178,0.8423148148148148
