mode,family_semantics,certification_regime,severity,threshold_fraction,certificate_correlation,samples,family_size_mean,strict_parent_cert_failure_rate,certification_rescue_rate,family_certification_resilience_rate,family_internal_loss_rate,family_internal_survival_rate,mean_certified_family_member_count,metric_artifact_risk_rate
ledger_failure,at_least_k,parent_shared,0.5,0.25,0.25,2400,5.115,0.424583,0.0,0.575417,0.424583,0.575417,2.77375,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.25,0.5,2400,5.115,0.4175,0.0,0.5825,0.4175,0.5825,2.525833,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.25,0.75,2400,5.115,0.49375,0.0,0.50625,0.49375,0.50625,2.580417,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.25,1.0,2400,5.115,0.453333,0.0,0.546667,0.453333,0.546667,3.0075,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.5,0.0,2400,3.786667,0.515,0.0,0.485,0.515,0.485,1.610417,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.5,0.25,2400,3.786667,0.424583,0.0,0.575417,0.424583,0.575417,2.075833,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.5,0.5,2400,3.786667,0.4175,0.0,0.5825,0.4175,0.5825,1.87875,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.5,0.75,2400,3.786667,0.49375,0.0,0.50625,0.49375,0.50625,1.903333,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.5,1.0,2400,3.786667,0.453333,0.0,0.546667,0.453333,0.546667,2.198333,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.75,0.0,2400,1.733333,0.515,0.0,0.485,0.515,0.485,0.758333,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.75,0.25,2400,1.733333,0.424583,0.0,0.575417,0.424583,0.575417,0.952083,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.75,0.5,2400,1.733333,0.4175,0.0,0.5825,0.4175,0.5825,0.900833,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.75,0.75,2400,1.733333,0.49375,0.0,0.50625,0.49375,0.50625,0.874583,0.0
