mode,family_semantics,severity,threshold_fraction,certificate_correlation,samples,certification_rescue_rate,family_certification_resilience_rate,family_internal_loss_rate,family_internal_survival_rate,mean_certified_family_member_count,metric_artifact_risk_rate
ledger_failure,augmented_exact_k,0.75,0.25,0.0,2400,0.238333,0.5075,0.4925,0.5075,0.699167,0.0
ledger_failure,augmented_exact_k,0.75,0.25,0.25,2400,0.199583,0.44125,0.55875,0.44125,0.680833,0.0
ledger_failure,augmented_exact_k,0.75,0.25,0.5,2400,0.132917,0.424583,0.575417,0.424583,0.783333,0.0
ledger_failure,augmented_exact_k,0.75,0.25,0.75,2400,0.057083,0.32,0.68,0.32,0.695417,0.0
ledger_failure,augmented_exact_k,0.75,0.25,1.0,2400,0.0,0.29,0.71,0.29,0.636667,0.0
ledger_failure,augmented_exact_k,0.75,0.5,0.0,2400,0.247917,0.53,0.47,0.53,0.789583,0.0
ledger_failure,augmented_exact_k,0.75,0.5,0.25,2400,0.225,0.45875,0.54125,0.45875,0.786667,0.0
ledger_failure,augmented_exact_k,0.75,0.5,0.5,2400,0.152083,0.42875,0.57125,0.42875,0.8991670000000002,0.0
ledger_failure,augmented_exact_k,0.75,0.5,0.75,2400,0.06875,0.32375,0.67625,0.32375,0.806667,0.0
ledger_failure,augmented_exact_k,0.75,0.5,1.0,2400,0.0,0.29,0.71,0.29,0.685,0.0
ledger_failure,augmented_exact_k,0.75,0.75,0.0,2400,0.10916700000000001,0.35625,0.64375,0.35625,0.445417,0.0
ledger_failure,augmented_exact_k,0.75,0.75,0.25,2400,0.067917,0.3275,0.6725,0.3275,0.42875,0.0
ledger_failure,augmented_exact_k,0.75,0.75,0.5,2400,0.054167,0.352083,0.647917,0.352083,0.547083,0.0
ledger_failure,augmented_exact_k,0.75,0.75,0.75,2400,0.0225,0.27875,0.72125,0.27875,0.49333299999999997,0.0
ledger_failure,augmented_exact_k,0.75,0.75,1.0,2400,0.0,0.29,0.71,0.29,0.386667,0.0
ledger_failure,augmented_exact_k,0.75,1.0,0.0,2400,0.0,0.250833,0.749167,0.250833,0.250833,0.0
ledger_failure,augmented_exact_k,0.75,1.0,0.25,2400,0.0,0.22458299999999998,0.775417,0.22458299999999998,0.22458299999999998,0.0
ledger_failure,augmented_exact_k,0.75,1.0,0.5,2400,0.0,0.2875,0.7125,0.2875,0.2875,0.0
ledger_failure,augmented_exact_k,0.75,1.0,0.75,2400,0.0,0.251667,0.748333,0.251667,0.251667,0.0
ledger_failure,augmented_exact_k,0.75,1.0,1.0,2400,0.0,0.29,0.71,0.29,0.29,0.0
ledger_failure,augmented_exact_k,1.0,0.25,0.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,0.25,0.25,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,0.25,0.5,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,0.25,0.75,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,0.25,1.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,0.5,0.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,0.5,0.25,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,0.5,0.5,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,0.5,0.75,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,0.5,1.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,0.75,0.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,0.75,0.25,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,0.75,0.5,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,0.75,0.75,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,0.75,1.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,1.0,0.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,1.0,0.25,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,1.0,0.5,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,1.0,0.75,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,1.0,1.0,1.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
orientation_degradation,at_least_k,0.25,0.25,0.0,2400,0.135417,0.90875,0.09125,0.90875,3.86,0.0
orientation_degradation,at_least_k,0.25,0.25,0.25,2400,0.0575,0.866667,0.133333,0.866667,3.847917,0.0
orientation_degradation,at_least_k,0.25,0.25,0.5,2400,0.072083,0.8075,0.1925,0.8075,3.8416669999999997,0.0
orientation_degradation,at_least_k,0.25,0.25,0.75,2400,0.02875,0.627917,0.372083,0.627917,3.575417,0.0
orientation_degradation,at_least_k,0.25,0.25,1.0,2400,0.0,0.79375,0.20625,0.79375,3.617083,0.0
orientation_degradation,at_least_k,0.25,0.5,0.0,2400,0.1225,0.90875,0.09125,0.90875,2.886667,0.0
orientation_degradation,at_least_k,0.25,0.5,0.25,2400,0.092917,0.866667,0.133333,0.866667,2.83125,0.0
orientation_degradation,at_least_k,0.25,0.5,0.5,2400,0.067083,0.8075,0.1925,0.8075,2.84125,0.0
orientation_degradation,at_least_k,0.25,0.5,0.75,2400,0.027083,0.627917,0.372083,0.627917,2.650417,0.0
orientation_degradation,at_least_k,0.25,0.5,1.0,2400,0.0,0.79375,0.20625,0.79375,2.687917,0.0
orientation_degradation,at_least_k,0.25,0.75,0.0,2400,0.032083,0.813333,0.186667,0.813333,1.329583,0.0
orientation_degradation,at_least_k,0.25,0.75,0.25,2400,0.030417,0.802917,0.197083,0.802917,1.298333,0.0
orientation_degradation,at_least_k,0.25,0.75,0.5,2400,0.022083,0.759167,0.240833,0.759167,1.30375,0.0
orientation_degradation,at_least_k,0.25,0.75,0.75,2400,0.01875,0.574167,0.425833,0.574167,1.11,0.0
orientation_degradation,at_least_k,0.25,0.75,1.0,2400,0.0,0.79375,0.20625,0.79375,1.250417,0.0
