keying,mode,family_semantics,severity,threshold_fraction,support_width,trials,certification_rescue_rate,orientation_overlap_all_pairs_mean,orientation_overlap_parent_anchored_mean,avg_witness_token_count,support_overlap_mean,frontier_overlap_mean,legacy_orientation_overlap_mean,ledger_overlap_mean
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.25,2,645,0.2589147286821705,0.28100939399389013,0.23303708780452967,5.23204134366925,0.333333,0.333333,0.333333,0.6498192093023256
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.25,3,714,0.29551820728291317,0.177931067989804,0.1438328210622621,5.714635854341736,0.166667,0.166667,0.166667,0.5221920084033613
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.25,4,660,0.39090909090909093,0.13409841678164222,0.1081155203595307,5.961515151515151,0.1,0.1,0.1,0.48251351363636363
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.5,1,1581,0.0,0.0,0.0,7.992409867172675,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.5,2,645,0.2589147286821705,0.27778897817657505,0.23000388715504996,5.2,0.333333,0.333333,0.333333,0.6498192093023256
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.5,3,714,0.16946778711484595,0.4107215578557506,0.3745097799890736,7.685574229691877,0.5,0.5,0.5,0.7166617899159663
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.5,4,660,0.29848484848484846,0.2934174370284951,0.27605198532361025,7.74025974025974,0.333333,0.333333,0.333333,0.6199095363636363
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.75,1,1581,0.0,0.0,0.0,8.01201771030993,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.75,2,645,0.0,0.0,0.0,6.970542635658915,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.75,3,714,0.0,0.0,0.0,9.669467787114845,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.75,4,660,0.1787878787878788,0.5053875057528132,0.4855263807419556,10.124848484848485,0.6,0.6,0.6,0.7759782636363637
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.25,1,1581,0.0,0.0,0.0,8.006325110689437,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.25,2,645,0.15503875968992248,0.27817525856285547,0.23053106454269243,5.242377260981913,0.333333,0.333333,0.333333,0.6498192093023256
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.25,3,714,0.27871148459383754,0.180222609211094,0.14469254237337942,5.7556022408963585,0.166667,0.166667,0.166667,0.5221920084033613
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.25,4,660,0.4196969696969697,0.1351661807092429,0.11063385950356468,5.956666666666667,0.1,0.1,0.1,0.48251351363636363
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.5,1,1581,0.0,0.0,0.0,8.022770398481974,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.5,2,645,0.15503875968992248,0.2795214633199129,0.2329984873008129,5.217571059431525,0.333333,0.333333,0.333333,0.6498192093023256
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.5,3,714,0.1722689075630252,0.40931202933211536,0.3752221020362484,7.685224089635854,0.5,0.5,0.5,0.7166617899159663
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.5,4,660,0.35,0.29396561963830664,0.27664605395959185,7.735281385281386,0.333333,0.333333,0.333333,0.6199095363636363
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.75,1,1581,0.0,0.0,0.0,8.014547754585704,1.0,1.0,1.0,1.0
